#Transcript position	Transcript coverage profile
0.0	18604.093143022776
1.0	18592.897620284937
2.0	20796.882913513626
3.0	24399.24160291688
4.0	27810.926650919908
5.0	30985.260659182575
6.0	32443.767588538536
7.0	33503.827791481934
8.0	35148.81970944353
9.0	40043.53259678853
10.0	49540.74806587988
11.0	75551.47684282502
12.0	81476.83749447748
13.0	82567.38938409007
14.0	70620.12289702805
15.0	51618.58252717381
16.0	44180.13314107824
17.0	42978.83052148482
18.0	43438.9933872867
19.0	44971.073448853655
20.0	47655.68524524574
21.0	51890.53021251158
22.0	54905.25648375975
23.0	67989.2775201501
24.0	63756.824489575985
25.0	70051.72448429375
26.0	77528.3105581479
27.0	81003.20534646425
28.0	78422.26838567274
29.0	72059.20504183146
30.0	73093.32328707477
31.0	64882.96267685552
32.0	61418.52393407178
33.0	67535.14564181637
34.0	72214.66394780244
35.0	72416.97013449743
36.0	70085.33708158816
37.0	62054.71969358012
38.0	57054.127549811084
39.0	55623.00107845768
40.0	58780.644683832594
41.0	68594.56876845784
42.0	71767.71484813257
43.0	75667.4256450487
44.0	67681.70901774865
45.0	62561.075544572996
46.0	58186.859827270164
47.0	54479.41312143735
48.0	51511.99261825272
49.0	51250.52207226103
50.0	50898.943948605076
51.0	50854.53573306859
52.0	51191.60454752726
53.0	51155.60049916074
54.0	51562.20535762631
55.0	50612.93303269857
56.0	51051.34222847312
57.0	53508.74140011632
58.0	54869.476231552966
59.0	54959.63575627686
60.0	56948.361967687815
61.0	61253.571866514125
62.0	62336.21705621623
63.0	62363.66894733361
64.0	62540.34915945728
65.0	61523.52743138514
66.0	58218.87070419886
67.0	57057.516348844925
68.0	57499.63743002205
69.0	59007.154560268886
70.0	58281.07945999612
71.0	54940.43093399764
72.0	52089.3760324102
73.0	50244.28850670663
74.0	50941.182680391816
75.0	51455.0313996551
76.0	54113.567196811135
77.0	53673.10243577165
78.0	52288.100975394686
79.0	49802.05703047032
80.0	49115.95598176884
81.0	51414.163409002875
82.0	50849.68984035238
83.0	50775.563394817254
84.0	48154.91923671257
85.0	48445.45841023034
86.0	47664.168505451606
87.0	47564.770433168
88.0	48139.68063292424
89.0	46834.662187877126
90.0	47100.12615648012
91.0	43701.45542165976
92.0	49184.43476355061
93.0	52650.67468044425
94.0	46214.03474645053
95.0	40471.63211860403
96.0	21183.12964394476
97.0	14774.355589374238
98.0	8952.8522254432
99.0	2776.75615797988
