#Transcript position	Transcript coverage profile
0.0	2265.110566681584
1.0	1822.076472155339
2.0	3075.4111453845017
3.0	5405.323862397084
4.0	7432.674125037171
5.0	9185.173138390302
6.0	8955.36086588524
7.0	8830.140928428054
8.0	9566.390312657695
9.0	13309.054683996877
10.0	21603.747232027647
11.0	47101.32091520003
12.0	52331.5757056474
13.0	52543.2740118113
14.0	39853.9570826469
15.0	20122.78516964295
16.0	12181.418254796916
17.0	10253.140741914181
18.0	10367.842573350483
19.0	11265.023131049524
20.0	13487.01547541985
21.0	17268.287336884925
22.0	19910.820989496857
23.0	32637.53626649034
24.0	28284.94953196676
25.0	34444.83920884146
26.0	41467.69250824227
27.0	44964.46065607173
28.0	41856.47699510601
29.0	35707.321267698295
30.0	36740.10767540271
31.0	28431.653774259925
32.0	24989.747918273086
33.0	30958.836599710674
34.0	35384.859769115195
35.0	35322.69786746505
36.0	32921.75505443701
37.0	24935.478172573272
38.0	19814.03046377218
39.0	18279.802424637688
40.0	21412.61922880794
41.0	31060.557361181192
42.0	34079.8927783495
43.0	38130.3286567192
44.0	29911.115757774933
45.0	24507.640340655773
46.0	19979.486440457647
47.0	16420.585157498117
48.0	13414.007967363901
49.0	13341.190783585842
50.0	13441.28016491699
51.0	13667.970037965175
52.0	14211.297141028312
53.0	14247.649389773898
54.0	14495.793584774268
55.0	13529.414771345673
56.0	14395.943511366155
57.0	16987.570417451574
58.0	18146.77484391723
59.0	17927.104919501413
60.0	19937.85813078301
61.0	24215.051715552265
62.0	24983.946695624596
63.0	25168.04537809798
64.0	25183.120436245976
65.0	24350.983713543774
66.0	21259.68729939236
67.0	20188.528340204542
68.0	20365.14375422781
69.0	21599.19400729146
70.0	20537.077435651587
71.0	17118.96070696188
72.0	14208.124307335396
73.0	12080.077283896848
74.0	12277.84526709399
75.0	12414.533464151933
76.0	14528.811945668687
77.0	13975.043307976235
78.0	12558.834047131159
79.0	10328.510025422234
80.0	9912.140987842815
81.0	12172.451869120347
82.0	11579.928836210656
83.0	11757.38936804683
84.0	9237.305241008793
85.0	9994.046985903435
86.0	10230.458716284656
87.0	11099.23687554097
88.0	12401.7347246606
89.0	11980.187577250508
90.0	13170.652006736449
91.0	11083.411959947858
92.0	18829.44435300846
93.0	24786.736640501553
94.0	20838.096313186186
95.0	18182.596840758542
96.0	2459.0816288013793
97.0	675.316886207324
98.0	358.8372371551323
99.0	112.20327349224607
