#Transcript position	Transcript coverage profile
0.0	63621.06339616341
1.0	67658.98445067262
2.0	73738.30806085987
3.0	79901.57645117404
4.0	87155.88187990634
5.0	93603.15804532023
6.0	100616.09300505342
7.0	106641.86748395092
8.0	110412.76464661006
9.0	116089.18791284079
10.0	122506.72525835328
11.0	126737.72214991524
12.0	130586.1263569181
13.0	134393.845270906
14.0	136416.81370188802
15.0	138973.59243754813
16.0	139840.06814320886
17.0	142369.44491686736
18.0	144332.02218830874
19.0	147495.38845287001
20.0	149333.13208254796
21.0	150976.22536537243
22.0	152544.6432564804
23.0	155936.23096094743
24.0	156813.92040524512
25.0	154507.76213536973
26.0	154300.61692641885
27.0	153571.84755303568
28.0	155628.24561758144
29.0	154635.2580831632
30.0	154992.01123472795
31.0	156363.50679428718
32.0	158338.94955343922
33.0	159204.86048647232
34.0	160786.26974477252
35.0	161891.72571333853
36.0	164462.73128755542
37.0	164466.75214703174
38.0	164003.41589562924
39.0	164468.4485926049
40.0	166405.81630753304
41.0	166124.9632256205
42.0	166851.67715128593
43.0	166373.7413510381
44.0	166215.23962811817
45.0	166916.49668745382
46.0	166258.8531812186
47.0	164947.13812819778
48.0	167885.4228113116
49.0	169321.07500940267
50.0	167789.3429346337
51.0	164386.5862607631
52.0	163415.6607967094
53.0	163305.37828319572
54.0	163954.90744623603
55.0	163589.98323206705
56.0	161689.66360642225
57.0	161377.65509701608
58.0	162213.3938913861
59.0	161200.14851165542
60.0	160975.4355771112
61.0	160764.46638070155
62.0	161613.02161546092
63.0	161351.01431510653
64.0	159470.31227933447
65.0	155243.19908515655
66.0	152593.50495879533
67.0	152396.50636275645
68.0	154562.73535381068
69.0	154795.8350391414
70.0	156241.51435985146
71.0	155654.49326319952
72.0	157836.99048953922
73.0	162179.02170829455
74.0	163331.01984379184
75.0	163482.0945201566
76.0	165565.44516119486
77.0	163778.60266448784
78.0	162213.8224984677
79.0	160902.0622092906
80.0	160153.78967669702
81.0	158462.68340907418
82.0	155704.22478767383
83.0	153745.12756713148
84.0	149844.1213439706
85.0	147212.2667381186
86.0	143987.79724736136
87.0	144070.45190832045
88.0	141634.5202988752
89.0	137195.31721992278
90.0	130276.21431738969
91.0	124213.8339195364
92.0	114282.79685092358
93.0	105193.86063231151
94.0	95461.48078782845
95.0	83629.00374873822
96.0	70144.56536178746
97.0	51649.93135778213
98.0	31571.15079188185
99.0	10379.21917471743
