#Transcript position	Transcript coverage profile
0.0	6839.839307961475
1.0	8437.320311074063
2.0	10563.584451350442
3.0	11012.34736213655
4.0	11890.858689863695
5.0	13100.465254027997
6.0	15047.255707678682
7.0	15786.77043743366
8.0	16229.449806678116
9.0	18110.299093677382
10.0	20327.45429528576
11.0	22140.297878571713
12.0	23391.774374448265
13.0	23977.053133537418
14.0	25080.662953916315
15.0	25672.877754230853
16.0	25978.433159608907
17.0	26431.657096185667
18.0	27113.721949925195
19.0	27140.084326005028
20.0	27185.900557765286
21.0	27269.893814368286
22.0	27285.663186701513
23.0	29449.70656604402
24.0	28970.696119770822
25.0	26569.71136885183
26.0	25121.050703532146
27.0	24237.0805459946
28.0	24725.36232099136
29.0	23944.71534901986
30.0	24263.30443959236
31.0	23758.730343042364
32.0	24674.300373831156
33.0	25098.45245194318
34.0	25715.767868650903
35.0	27956.80297508362
36.0	30593.920204173173
37.0	30974.36760820621
38.0	29873.05916761624
39.0	30104.903658846008
40.0	30356.85919960458
41.0	30221.896080227096
42.0	30142.828522735315
43.0	29782.63703805463
44.0	29130.268771559808
45.0	29404.68883087922
46.0	28119.22859445934
47.0	26200.149760420136
48.0	28957.851146690504
49.0	30982.998169497874
50.0	30397.4948579138
51.0	27931.1207989732
52.0	27089.679031331587
53.0	28138.335770835827
54.0	29190.646761501568
55.0	29327.806185829177
56.0	28422.840315110243
57.0	27033.451153501668
58.0	27679.350540454536
59.0	27701.125897880305
60.0	27569.285983850867
61.0	27698.883572916555
62.0	28592.806481990145
63.0	28261.812649042073
64.0	26713.69014082525
65.0	23735.315903250466
66.0	21646.516974680362
67.0	22636.67654204772
68.0	24579.001751657772
69.0	24926.150373595214
70.0	26329.346521096664
71.0	26202.491174013983
72.0	28671.67011513363
73.0	32649.201563789535
74.0	33188.19454334857
75.0	31977.44194267259
76.0	33275.575367362355
77.0	30992.211859262905
78.0	29596.47646545377
79.0	28229.395279349457
80.0	26755.00218751425
81.0	25499.25214206138
82.0	25301.999808420638
83.0	24848.082672897577
84.0	22657.634988654263
85.0	21366.962569805324
86.0	20851.490617490246
87.0	21518.3183672134
88.0	21137.974404326105
89.0	19811.556087388413
90.0	17459.038417904423
91.0	16529.311911512734
92.0	14928.77686309821
93.0	13998.534752032618
94.0	12060.253133712857
95.0	9725.912621660424
96.0	7245.157940553198
97.0	4302.08863959804
98.0	1933.2817460946376
99.0	636.5941887898462
