#Transcript position	Transcript coverage profile
0.0	17771.141657164444
1.0	18144.720048793475
2.0	20035.740678166934
3.0	23476.53825252588
4.0	27048.444193767024
5.0	30362.376050928844
6.0	31829.476191371
7.0	33122.71659270626
8.0	34720.544462252255
9.0	38745.86064204664
10.0	47714.77582817139
11.0	72542.59344963098
12.0	79071.57381847236
13.0	79914.69109271487
14.0	69080.58069092866
15.0	49504.26777683293
16.0	43524.5463636797
17.0	42534.73853533677
18.0	43274.15116927278
19.0	46453.37363575952
20.0	49039.959471340124
21.0	52472.971974893066
22.0	55066.32226469837
23.0	67152.54311257636
24.0	62836.85849317865
25.0	66369.5291445964
26.0	71814.77919315337
27.0	76799.2428502116
28.0	74974.53844916013
29.0	69748.22858373239
30.0	69488.8472559733
31.0	64320.664998518645
32.0	61409.92974609607
33.0	66973.21719366513
34.0	72042.67721702669
35.0	72295.88762526389
36.0	70197.10209295803
37.0	63046.7136825631
38.0	58301.02626299583
39.0	57002.03572691158
40.0	61410.304961179965
41.0	71655.24910186525
42.0	74691.10411457405
43.0	78712.23916684247
44.0	70738.01567348129
45.0	65486.659613959804
46.0	60862.21974646993
47.0	56945.31535398823
48.0	53661.32443655183
49.0	53495.59362279969
50.0	53242.39280742863
51.0	53043.75489317499
52.0	52887.4673125947
53.0	53054.967986014264
54.0	53877.64437539929
55.0	53013.21787329975
56.0	53620.504691312395
57.0	55600.91368618991
58.0	56680.57310986465
59.0	56733.33746263574
60.0	58336.42852406246
61.0	61847.501005867074
62.0	62984.56294092005
63.0	63032.72791686218
64.0	63197.896254183746
65.0	61671.40659909897
66.0	58376.99258682586
67.0	57366.214749439205
68.0	58161.99789152829
69.0	59262.75294369963
70.0	58219.95172188195
71.0	55136.0375099041
72.0	52597.58863072136
73.0	51447.79479938069
74.0	52255.08014733049
75.0	52571.462276719285
76.0	55340.80202220669
77.0	54836.49157959584
78.0	53398.20269304609
79.0	51001.617558026956
80.0	50628.28823227683
81.0	53060.243198149095
82.0	52017.05198226958
83.0	52076.528830297866
84.0	49088.617604633444
85.0	49153.288259281646
86.0	48161.63156504881
87.0	47830.04039683099
88.0	48537.66533517079
89.0	47322.290486356906
90.0	47372.46512932998
91.0	44224.63013263184
92.0	47771.4670274594
93.0	49558.74959913625
94.0	43768.42081498756
95.0	37937.226759374535
96.0	21739.795742200196
97.0	15453.589787688989
98.0	9470.870607028332
99.0	2932.745977632658
