#Transcript position	Transcript coverage profile
0.0	2557.0781753022757
1.0	2357.208885441807
2.0	3355.034420959781
3.0	5551.431789395359
4.0	7630.080981176525
5.0	9433.768903742677
6.0	9154.42220537856
7.0	9148.367883377692
8.0	9704.499527326612
9.0	12389.80818684072
10.0	19855.371216024738
11.0	43925.17121203621
12.0	49536.28154099643
13.0	49704.62680530044
14.0	38298.9051393554
15.0	17949.938183806647
16.0	11545.74511192691
17.0	9809.59801600456
18.0	10163.431373828449
19.0	12662.596205659665
20.0	14816.174306202132
21.0	17717.40949305501
22.0	19901.492125116038
23.0	31556.27270600808
24.0	27224.82138229893
25.0	30667.776622060814
26.0	35610.772519144535
27.0	40541.25491562314
28.0	37952.42289356844
29.0	32882.894119907956
30.0	32644.570435656093
31.0	27462.031299402945
32.0	24305.409888160928
33.0	29711.375028693972
34.0	34592.761045483225
35.0	34601.052967348616
36.0	32443.422537276085
37.0	25297.521558105902
38.0	20379.071873818728
39.0	18949.24821180172
40.0	23456.28017811498
41.0	33574.481951612564
42.0	36589.2478521006
43.0	40816.51376843796
44.0	32544.365892748236
45.0	27153.233608874118
46.0	22229.601814165035
47.0	18472.909410545024
48.0	15121.214781160841
49.0	15069.614817236929
50.0	15106.6912114437
51.0	15170.258356228343
52.0	15270.666037121167
53.0	15550.365253610893
54.0	16292.572105994184
55.0	15440.905186682512
56.0	16445.369200075238
57.0	18523.868987144084
58.0	19413.405653746522
59.0	19253.793103021
60.0	20755.46450320615
61.0	24212.00488112008
62.0	25068.207503706875
63.0	25498.160770483973
64.0	25469.69870321628
65.0	24082.910913342184
66.0	20869.001617214388
67.0	20036.75843973419
68.0	20693.832270984924
69.0	21594.993926843603
70.0	20103.975353521986
71.0	16984.254143694965
72.0	14414.141058154
73.0	12946.603882382837
74.0	13258.352445591723
75.0	13257.67453430449
76.0	15625.699434357972
77.0	14891.724838576702
78.0	13364.575231048
79.0	11248.925262297136
80.0	10949.88596743237
81.0	13358.685030189532
82.0	12320.472078352039
83.0	12630.11173045581
84.0	9639.932212554733
85.0	10202.32523621286
86.0	10384.798397696537
87.0	11069.326382565647
88.0	12324.020028746561
89.0	11871.63684083132
90.0	12911.10696188477
91.0	11127.19281058037
92.0	17094.673585689867
93.0	21674.509148114634
94.0	18313.408862527132
95.0	15445.019735858123
96.0	2719.3326765907436
97.0	1072.906157608743
98.0	606.5278614274455
99.0	201.7262492180191
