Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7179504_pass	(1.0, 26.112498622587122)	(2.0, 8.242241188956413)	(3.0, 4.659330958692329)	(4.0, 3.224021997143728)	(5.0, 2.6127007415942356)	(6.0, 2.043483975803077)	(7.0, 1.766113490069399)	(8.0, 1.497748740385422)	(9.0, 1.2724481682301294)	('>10', 17.055061397662257)	('>50', 5.418211606085429)	('>100', 10.681704493312697)	('>500', 3.9074472321777702)	('>1k', 7.9635249292518555)	('>5k', 2.2665662288398876)	('>10k+', 1.2768962292083625)
SRR7179505_pass	(1.0, 26.033746578796467)	(2.0, 8.26209968883289)	(3.0, 4.79578040519634)	(4.0, 3.27577559914292)	(5.0, 2.5583829489602263)	(6.0, 2.0766812967265955)	(7.0, 1.7047655624947657)	(8.0, 1.4584436034941066)	(9.0, 1.3128390396859444)	('>10', 16.99562714862138)	('>50', 5.575369699400466)	('>100', 10.639122105828063)	('>500', 3.8422645446989008)	('>1k', 8.043796977849096)	('>5k', 2.234101317888595)	('>10k+', 1.1912034823830988)
SRR7179506_pass	(1.0, 26.017027464534593)	(2.0, 8.126545697802609)	(3.0, 4.625983712806231)	(4.0, 3.2275381782738073)	(5.0, 2.440986319225633)	(6.0, 2.00091148486777)	(7.0, 1.698259193076102)	(8.0, 1.4145889890695)	(9.0, 1.3198974450072687)	('>10', 17.0856172035314)	('>50', 5.565885846573497)	('>100', 10.755398987789935)	('>500', 3.96249388911947)	('>1k', 8.027728503916547)	('>5k', 2.456872279777007)	('>10k+', 1.274264804628467)
SRR7179507_pass	(1.0, 26.21047634384658)	(2.0, 8.556676237043213)	(3.0, 4.846759697324093)	(4.0, 3.3526197532722084)	(5.0, 2.5848751827922176)	(6.0, 2.0795333704774146)	(7.0, 1.723770949884799)	(8.0, 1.4405894624846733)	(9.0, 1.3169294954921398)	('>10', 17.023091635308475)	('>50', 5.444388149098386)	('>100', 10.412432141554168)	('>500', 3.784517217195026)	('>1k', 7.693266984993365)	('>5k', 2.2811167444550784)	('>10k+', 1.248956634778032)
SRR7179508_pass	(1.0, 25.947344341147744)	(2.0, 8.32554647516823)	(3.0, 4.740894198924749)	(4.0, 3.309205818044319)	(5.0, 2.5226702193284196)	(6.0, 2.035112311791913)	(7.0, 1.6681256379547074)	(8.0, 1.4927927532694827)	(9.0, 1.2723527506609627)	('>10', 16.769642668003684)	('>50', 5.474579466256813)	('>100', 10.769865189454048)	('>500', 3.9312514941684626)	('>1k', 7.4854572998981626)	('>5k', 2.56413981926113)	('>10k+', 1.691019556667159)
SRR7179509_pass	(1.0, 25.85609229815782)	(2.0, 8.263027272977354)	(3.0, 4.73961242626815)	(4.0, 3.3999742857394337)	(5.0, 2.5863567085355714)	(6.0, 2.0859588491853147)	(7.0, 1.6998263148502206)	(8.0, 1.4539402044157486)	(9.0, 1.2824036328861759)	('>10', 17.004973523905335)	('>50', 5.458450403984158)	('>100', 10.670258690269625)	('>500', 3.963247341742647)	('>1k', 7.439541087673092)	('>5k', 2.4032399440428565)	('>10k+', 1.6930970153664966)
SRR7179510_pass	(1.0, 25.79291294585277)	(2.0, 8.202108441867713)	(3.0, 4.732574346320105)	(4.0, 3.2281762825868774)	(5.0, 2.5560581245230334)	(6.0, 1.9948091801862564)	(7.0, 1.7473301051711)	(8.0, 1.428355501319513)	(9.0, 1.268776037100483)	('>10', 16.909537129493103)	('>50', 5.45730119172445)	('>100', 10.774507554183497)	('>500', 4.019437679760732)	('>1k', 7.595758684934845)	('>5k', 2.606930514998022)	('>10k+', 1.6854262799774933)
SRR7179511_pass	(1.0, 26.235249597278234)	(2.0, 8.533506817562156)	(3.0, 4.879872437638822)	(4.0, 3.407500851150644)	(5.0, 2.6171996827667)	(6.0, 2.1144642909554014)	(7.0, 1.693090608758875)	(8.0, 1.4236205967787252)	(9.0, 1.334308142390155)	('>10', 16.819662757416815)	('>50', 5.342762341982771)	('>100', 10.442919695272805)	('>500', 3.77422928871326)	('>1k', 7.283163355669534)	('>5k', 2.422780481128217)	('>10k+', 1.6756690545367814)
SRR7179520_pass	(1.0, 28.211076514491324)	(2.0, 9.237206984550674)	(3.0, 5.328697789705789)	(4.0, 3.6459284891339685)	(5.0, 2.760915469983242)	(6.0, 2.3149259002033693)	(7.0, 1.9065905432608068)	(8.0, 1.6000370296531081)	(9.0, 1.4274496551270823)	('>10', 18.39569347122913)	('>50', 5.939277332669106)	('>100', 10.165325559434848)	('>500', 3.0404438154463507)	('>1k', 4.775263490125243)	('>5k', 0.7855315730745392)	('>10k+', 0.46563638191136103)
SRR7179521_pass	(1.0, 28.072916045277417)	(2.0, 9.31200835532132)	(3.0, 5.325230990820481)	(4.0, 3.674956432310819)	(5.0, 2.7680578264984264)	(6.0, 2.2033065635105786)	(7.0, 1.8831263450653002)	(8.0, 1.6223433416694455)	(9.0, 1.4380620024677326)	('>10', 18.7011730328145)	('>50', 5.897342576084145)	('>100', 10.174803614470356)	('>500', 3.038245310469755)	('>1k', 4.735142066650013)	('>5k', 0.6887082648322037)	('>10k+', 0.46457723173744925)
SRR7179522_pass	(1.0, 28.123354505076737)	(2.0, 8.988978095645097)	(3.0, 5.2214604073505955)	(4.0, 3.6098999064125574)	(5.0, 2.8070479368868524)	(6.0, 2.2149889034967414)	(7.0, 1.811568245997357)	(8.0, 1.633349945906806)	(9.0, 1.3990196997172926)	('>10', 18.60776736446581)	('>50', 6.065251886064109)	('>100', 10.290466807205835)	('>500', 3.107428978072722)	('>1k', 4.832425958079225)	('>5k', 0.8218804575604437)	('>10k+', 0.4651109020618524)
SRR7179523_pass	(1.0, 28.43817707949346)	(2.0, 9.252843766832338)	(3.0, 5.256295122762137)	(4.0, 3.708880668593585)	(5.0, 2.8583965514781426)	(6.0, 2.322276273259386)	(7.0, 1.9345414984203475)	(8.0, 1.6069902379034353)	(9.0, 1.4527238991610747)	('>10', 18.55984228771006)	('>50', 5.867981890079537)	('>100', 9.899888306612015)	('>500', 2.960451413208114)	('>1k', 4.6572027220290995)	('>5k', 0.7680373272777278)	('>10k+', 0.45547095517960884)
SRR7179524_pass	(1.0, 26.796529479138908)	(2.0, 8.938579637098238)	(3.0, 5.131929680034473)	(4.0, 3.630854559209519)	(5.0, 2.712803473023169)	(6.0, 2.267757114451367)	(7.0, 1.8531558945764446)	(8.0, 1.6303616515486785)	(9.0, 1.45381816830084)	('>10', 19.06096599151028)	('>50', 6.121398343668508)	('>100', 10.813361725753289)	('>500', 3.1992748177185106)	('>1k', 4.977154279141444)	('>5k', 0.7352416892239779)	('>10k+', 0.6768134956024495)
SRR7179525_pass	(1.0, 26.749242544238115)	(2.0, 8.94668097353229)	(3.0, 5.087734258131832)	(4.0, 3.555169327497517)	(5.0, 2.79323665438136)	(6.0, 2.273423427117477)	(7.0, 1.980549269346899)	(8.0, 1.652989937678592)	(9.0, 1.429160937230999)	('>10', 19.11685499528522)	('>50', 6.140794714757799)	('>100', 10.844273270143212)	('>500', 3.1962469963477567)	('>1k', 4.835932227279209)	('>5k', 0.7993823788056017)	('>10k+', 0.5983280882262517)
SRR7179526_pass	(1.0, 26.646017711641747)	(2.0, 8.742391124968806)	(3.0, 5.064774703131128)	(4.0, 3.49610268424993)	(5.0, 2.774769916467436)	(6.0, 2.270033595103665)	(7.0, 1.9260313650423233)	(8.0, 1.5774067915601722)	(9.0, 1.4429316521366504)	('>10', 19.0348004639361)	('>50', 6.215948922031824)	('>100', 11.024583047000998)	('>500', 3.234269464067327)	('>1k', 5.004480539913934)	('>5k', 0.8060098883998246)	('>10k+', 0.7394481303480867)
SRR7179527_pass	(1.0, 27.126563274343056)	(2.0, 8.963156083445163)	(3.0, 5.175978803178995)	(4.0, 3.5873742527122623)	(5.0, 2.840403932084122)	(6.0, 2.2436582025081693)	(7.0, 1.9157532918698459)	(8.0, 1.5935347877858652)	(9.0, 1.4262912861406203)	('>10', 19.239253485457827)	('>50', 6.063213108117197)	('>100', 10.599666276846676)	('>500', 3.0612218898851484)	('>1k', 4.689540430848379)	('>5k', 0.7521020687227308)	('>10k+', 0.7222888260539709)
